phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia C3,2020-11-01,Quarterly,Nov-22,Nov-20,00WW_1_140,MR Update and SP (Android 10),,"December 02, 2020"
Nokia 8.3 5G,2020-11-01,Monthly,Nov-23,Nov-20,00WW_1_110_SP02,SP Only (Android 10),,"November 30, 2020"
Nokia 9 Pureview,2020-11-01,Monthly,Mar-22,Nov-20,00WW_5_26A_SP01,SP Only (Android 10),,"November 30, 2020"
Nokia 5.1,2020-11-01,Monthly,Aug-21,Nov-20,00WW_3_25B_SP15,SP Only (Pie 9),,"November 30, 2020"
Nokia 3.1,2020-11-01,Monthly,Jul-21,Nov-20,00WW_3_25B_SP15,SP Only (Pie 9),,"November 30, 2020"
Nokia 8.3 5G,2020-11-01,Monthly,Nov-23,Nov-20,00WW_1_140,MR Update and SP (Android 10),,"November 26, 2020"
Nokia 8 Sirocco,2020-11-01,Monthly,May-21,Nov-20,00WW_5_140_SP04,SP Only (Android 10),,"November 26, 2020"
Nokia 5.1 Plus,2020-10-01,Monthly,Oct-21,Oct-20,00WW_3_260,MR Update and SP (Android 10),,"November 26, 2020"
Nokia 6.2,2020-11-01,Monthly,Oct-22,Nov-20,00WW_2_390,MR Update and SP (Android 10),,"November 25, 2020"
Nokia 2.3,2020-11-01,Monthly,Dec-22,Nov-20,00WW_2_330_SP01 ,SP Only (Android 10),,"November 24, 2020"
Nokia 2.3,2020-11-01,Monthly,Dec-22,Nov-20,00WW_2_300_SP03,SP Only (Android 10),,"November 24, 2020"
Nokia 9 Pureview,2020-11-01,Monthly,Mar-22,Nov-20,00RU_5_25A_SP06,SP Only (Android 10),,"November 24, 2020"
Nokia 9 Pureview,2020-11-01,Monthly,Mar-22,Nov-20,00WW_5_25A_SP06,SP Only (Android 10),,"November 24, 2020"
Nokia 7.1,2020-11-01,Monthly,Nov-21,Nov-20,00WW_4 _16B_SP01,SP Only (Android 10),,"November 24, 2020"
Nokia 7.1,2020-11-01,Monthly,Nov-21,Nov-20,00WW_4 _15C_SP06,SP Only (Android 10),,"November 24, 2020"
Nokia 7 Plus,2020-11-01,Monthly,Apr-21,Nov-20,00WW_4 _16B_SP01,SP Only (Android 10),,"November 24, 2020"
Nokia 7 Plus,2020-11-01,Monthly,Apr-21,Nov-20,00WW_4 _15D_SP06,SP Only (Android 10),,"November 24, 2020"
