device_slug,source_url,filename,file_size,brand,device_name,model_code,chipset,build,market,date_token
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_15.1.2.128_RU001PF001AZ_251010_MXML.zip,,TECNO,Camon 19,CL6,MT6789,15.1.2.128,RU001PF001AZ,251010
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_15.1.0.139SP03_OP001PF001AZ_270725_MXML.zip,,TECNO,Camon 19,CL6,MT6789,15.1.0.139SP03,OP001PF001AZ,270725
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_15.1.2.170SP05_TR001PF001AZ_260421_MXML.zip,,TECNO,Camon 19,CL6,MT6789,15.1.2.170SP05,TR001PF001AZ,260421
tecno-camon-19-neo-ch6i,https://naijarom.com/tecno-camon-19-neo-ch6i,Tecno_Camon_19_Neo_CH6i_MT6768_RU_V2327_240619.zip,,,,,,,,
tecno-camon-19-neo-ch6i,https://naijarom.com/tecno-camon-19-neo-ch6i,Tecno_Camon_19_Neo_CH6i_MT6768_EU_V1150_220804.zip,,,,,,,,
tecno-camon-19-neo-ch6i,https://naijarom.com/tecno-camon-19-neo-ch6i,Tecno_Camon_19_Neo_CH6i_MT6768_GL_V1799_221203.zip,,,,,,,,
tecno-camon-19-neo-ch6i,https://naijarom.com/tecno-camon-19-neo-ch6i,Tecno_Camon_19_Neo_CH6i_MT6768_RU_V1477_220922.zip,,,,,,,,
tecno-camon-19-neo-ch6i,https://naijarom.com/tecno-camon-19-neo-ch6i,Tecno_Camon_19_Neo_CH6i_MT6768_TR_V1476_220922.zip,,,,,,,,
tecno-camon-19-pro-5g,https://naijarom.com/tecno-camon-19-pro-5g,Tecno_Camon_19_Pro_5G_MT6833_V35_220505.zip,,,,,,,,
tecno-camon-19-pro-5g-ci7n,https://naijarom.com/tecno-camon-19-pro-5g-ci7n,Tecno_Camon_19_Pro_5G_CI7N_MT6833_V4239_240429.zip,,,,,,,,
tecno-camon-20-ck6n,https://naijarom.com/tecno-camon-20-ck6n,Tecno_Camon_20_CK6N_MT6768_OP_V1436_250417.zip,,,,,,,,
tecno-camon-20-pro-5g-ck8n,https://naijarom.com/tecno-camon-20-pro-5g-ck8n,Tecno_Camon_20_Pro_5G_CK8N_MT6893_V1611_23230531.zip,,,,,,,,
tecno-camon-20-pro-ck6n,https://naijarom.com/tecno-camon-20-pro-ck6n,Tecno_Camon_20_Pro_CK6N_MT6768_OP_V1436_250417.zip,,,,,,,,
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.0.3.127_IN001PF001AZ_260525_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.0.3.127,IN001PF001AZ,260525
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.0.3.127_RU001PF001AZ_250526_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.0.3.127,RU001PF001AZ,250526
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.128_RU001PF001AZ_251010_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.128,RU001PF001AZ,251010
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.0.138SP05_OP001PF001AZ_180925_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.0.138SP05,OP001PF001AZ,180925
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.140SP01_IN001PF001AZ_031225_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.140SP01,IN001PF001AZ,031225
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.155_IN001PF001AZ_260115_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.155,IN001PF001AZ,260115
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.170SP07_IN001PF001AZ_260429_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.170SP07,IN001PF001AZ,260429
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.155_OP001PF001AZ_260115_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.155,OP001PF001AZ,260115
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.155_RU001PF001AZ_260115_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.155,RU001PF001AZ,260115
tecno-camon-30-5g-cl7,https://naijarom.com/tecno-camon-30-5g-cl7,Tecno_Camon_30_5G_CL7_MT6855_15.1.2.155_TR001PF001AZ_260115_MXML.zip,,TECNO,Camon 30 5G,CL7,MT6855,15.1.2.155,TR001PF001AZ,260115
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_IN_V367_240515_MXML.zip,,,,,,,,
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_IN_V383_240618_MXML.zip,,,,,,,,
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_15.0.3.127_IN001PF001AZ_270525_MXML.zip,,TECNO,Camon 30 5G,CL7K,MT6855,15.0.3.127,IN001PF001AZ,270525
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_15.1.2.140SP01_IN001PF001AZ_031225_MXML.zip,,TECNO,Camon 30 5G,CL7K,MT6855,15.1.2.140SP01,IN001PF001AZ,031225
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_15.1.2.155_IN001PF001AZ_260115_MXML.zip,,TECNO,Camon 30 5G,CL7K,MT6855,15.1.2.155,IN001PF001AZ,260115
tecno-camon-30-5g-cl7k,https://naijarom.com/tecno-camon-30-5g-cl7k,Tecno_Camon_30_5G_CL7K_MT6855_15.1.2.170SP07_IN001PF001AZ_260429_MXML.zip,,TECNO,Camon 30 5G,CL7K,MT6855,15.1.2.170SP07,IN001PF001AZ,260429
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.0.3.127_OP001PF001AZ_270525_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.0.3.127,OP001PF001AZ,270525
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.128_RU001PF001AZ_251010_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.128,RU001PF001AZ,251010
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.0.139SP03_RU001PF001AZ_280725_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.0.139SP03,RU001PF001AZ,280725
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.0.139SP03_OP001PF001AZ_270725_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.0.139SP03,OP001PF001AZ,270725
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.0.159SP01_RU001PF001AZ_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.0.159SP01,RU001PF001AZ,
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.170SP05_TR001PF001AZ_260421_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.170SP05,TR001PF001AZ,260421
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.155_RU001PF001AZ_260114_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.155,RU001PF001AZ,260114
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.155_TR001PF001AZ_260114_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.155,TR001PF001AZ,260114
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.155_OPPJ001PF001PJ_260114_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.155,OPPJ001PF001PJ,260114
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.180SP05_RU001PF001AZ_260618_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.180SP05,RU001PF001AZ,260618
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_16.3.0.140SP18_OP005PF001AZ_MXML.zip,,TECNO,Camon 30,CL6,MT6789,16.3.0.140SP18,OP005PF001AZ,
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_OP_V1189_240220_MXML.zip,,,,,,,,
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_TR_V2588_241212_MXML.zip,,,,,,,,
tecno-camon-30-cl6,https://naijarom.com/tecno-camon-30-cl6,Tecno_Camon_30_CL6_MT6789_15.1.2.180SP05_OP001PF001AZ_260618_MXML.zip,,TECNO,Camon 30,CL6,MT6789,15.1.2.180SP05,OP001PF001AZ,260618
